Number,Action,Name,Rationale,From Line 1,From Line 2,From Line 3,From Line 4,From Line 5,To Line 1,To Line 2,To Line 3,To Line 4,To Line 5,Amount,UNFORMATTED,From Line 6
558,19-0925-EX1,Transfer from Early College and Career - City Wide to Kelvyn Park High School,Certifications for CTE Digital Media program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,46191 Kelvyn Park High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",147601 Graphic Communications/Graphic Design,474567 Special Student Needs-C. Perkins Fy20,"$4,100","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
559,19-0925-EX1,Transfer from Early College and Career - City Wide to John F Kennedy High School,Certifications for CTE Digital Media program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,46201 John F Kennedy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",147601 Graphic Communications/Graphic Design,474567 Special Student Needs-C. Perkins Fy20,"$4,100","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
560,19-0925-EX1,Transfer from Early College and Career - City Wide to Kenwood Academy High School,Certifications for CTE Digital Media program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,46361 Kenwood Academy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",147601 Graphic Communications/Graphic Design,474567 Special Student Needs-C. Perkins Fy20,"$4,100","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
561,19-0925-EX1,Transfer from Early College and Career - City Wide to Orr Academy High School,Certifications for CTE Digital Media program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,28151 Orr Academy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",147601 Graphic Communications/Graphic Design,474567 Special Student Needs-C. Perkins Fy20,"$4,100","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
562,19-0925-EX1,Transfer from Early College and Career - City Wide to Wendell Phillips Academy High School,Certifications for CTE Digital Media program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,46261 Wendell Phillips Academy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",147601 Graphic Communications/Graphic Design,474567 Special Student Needs-C. Perkins Fy20,"$4,100","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
563,19-0925-EX1,Transfer from Early College and Career - City Wide to Charles Allen Prosser Career Academy High School,Certifications for CTE Digital Media program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,53041 Charles Allen Prosser Career Academy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",147601 Graphic Communications/Graphic Design,474567 Special Student Needs-C. Perkins Fy20,"$4,100","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
564,19-0925-EX1,Transfer from Early College and Career - City Wide to Carl Schurz High School,Certifications for CTE Digital Media program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,46281 Carl Schurz High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",147601 Graphic Communications/Graphic Design,474567 Special Student Needs-C. Perkins Fy20,"$4,100","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
565,19-0925-EX1,Transfer from Early College and Career - City Wide to Charles P Steinmetz College Preparatory HS,Certifications for CTE Digital Media program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,46291 Charles P Steinmetz College Preparatory HS,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",147601 Graphic Communications/Graphic Design,474567 Special Student Needs-C. Perkins Fy20,"$4,100","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
566,19-0925-EX1,Transfer from Early College and Career - City Wide to William Howard Taft High School,Certifications for CTE Digital Media program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,46311 William Howard Taft High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",147601 Graphic Communications/Graphic Design,474567 Special Student Needs-C. Perkins Fy20,"$4,100","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
567,19-0925-EX1,Transfer from Early College and Career - City Wide to Stephen T Mather High School,Certifications for CTE Digital Media program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,46241 Stephen T Mather High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",148001 Allied Health,474567 Special Student Needs-C. Perkins Fy20,"$4,100","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
568,19-0925-EX1,Transfer from Early College and Career - City Wide to Marie Sklodowska Curie Metropolitan High School,Supplies for CTE Architecture program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",53101 Marie Sklodowska Curie Metropolitan High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,144601 Architectural Drafting,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$4,117",,
569,19-0925-EX1,Transfer from Early College and Career - City Wide to Paul Laurence Dunbar Career Academy High School,Supplies for CTE Architecture program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",53021 Paul Laurence Dunbar Career Academy High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,144601 Architectural Drafting,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$4,117",,
570,19-0925-EX1,Transfer from Early College and Career - City Wide to Benito Juarez Community Academy High School,Supplies for CTE Architecture program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",46421 Benito Juarez Community Academy High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,144601 Architectural Drafting,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$4,117",,
571,19-0925-EX1,Transfer from Early College and Career - City Wide to Thomas Kelly High School,Supplies for CTE Architecture program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",46181 Thomas Kelly High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,144601 Architectural Drafting,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$4,117",,
572,19-0925-EX1,Transfer from Early College and Career - City Wide to Neal F Simeon Career Academy High School,Supplies for CTE Architecture program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",53061 Neal F Simeon Career Academy High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,144601 Architectural Drafting,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$4,117",,
573,19-0925-EX1,Transfer from Education General - City Wide to Office of Student Health & Wellness,Transfer funding to Office of Student Health & Wellness for the FY20 Healthy Chicago Public Schools-YRBS 262006 program.,12670 Education General - City Wide,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,600002 Contingency For Project Expansion,041008 Contingency For Grant Expansion,14050 Office of Student Health & Wellness,"324 Miscellaneous Federal, State & Local Grants",54205 Travel Expense,221077 Cdc Hiv Prevention Pd,"580217 Healthy Chicago Public Schools-Hiv/Std Prevention
Initiative 221077 Fy20","$4,131",,
574,19-0925-EX1,Transfer from Capital/Operations - City Wide to Daniel Webster Elementary School,Funds Transfer From Award# 2020-488-00-06 To Project# 2018-25791-NCP ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,25791 Daniel Webster Elementary School,488 Series 2017H,54125 Services - Professional/Administrative,253511 Campus Parks,000000 Default Value,"$4,132",,
575,19-0925-EX1,Transfer from Citywide Student Support and Engagement to Edward Tilden Career Community Academy HS,FY20 21CCLC Instr. Allocation,10875 Citywide Student Support and Engagement,"324 Miscellaneous Federal, State & Local Grants",57915 Miscellaneous - Contingent Projects,221011 Improvement Of Instruction,"442186 21st Century Community Learning Centers - (Cohort
15-Grant 1) Fy20",53121 Edward Tilden Career Community Academy HS,"324 Miscellaneous Federal, State & Local Grants",53405 Commodities - Supplies,119035 Other Instruction Purposes - Miscellaneous,"442186 21st Century Community Learning Centers - (Cohort
15-Grant 1) Fy20","$4,132",,
576,19-0925-EX1,Transfer from Early College and Career - City Wide to Back of the Yards IB HS,Supplies for CTE Broadcast program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,46551 Back of the Yards IB HS,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140205 Broadcast Technology,474567 Special Student Needs-C. Perkins Fy20,"$4,154",,
577,19-0925-EX1,Transfer from Early College and Career - City Wide to Roberto Clemente Community Academy High School,Supplies for CTE Broadcast program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,51091 Roberto Clemente Community Academy High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140205 Broadcast Technology,474567 Special Student Needs-C. Perkins Fy20,"$4,154",,
578,19-0925-EX1,Transfer from Early College and Career - City Wide to George H Corliss High School,Supplies for CTE Broadcast program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,46391 George H Corliss High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140205 Broadcast Technology,474567 Special Student Needs-C. Perkins Fy20,"$4,154",,
579,19-0925-EX1,Transfer from Early College and Career - City Wide to Marie Sklodowska Curie Metropolitan High School,Supplies for CTE Broadcast program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,53101 Marie Sklodowska Curie Metropolitan High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140205 Broadcast Technology,474567 Special Student Needs-C. Perkins Fy20,"$4,154",,
580,19-0925-EX1,Transfer from Early College and Career - City Wide to Paul Laurence Dunbar Career Academy High School,Supplies for CTE Broadcast program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,53021 Paul Laurence Dunbar Career Academy High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140205 Broadcast Technology,474567 Special Student Needs-C. Perkins Fy20,"$4,154",,
581,19-0925-EX1,Transfer from Early College and Career - City Wide to Theodore Roosevelt High School,Supplies for CTE Early Childhood program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,46271 Theodore Roosevelt High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140005 Cte - Childcare Worker,474567 Special Student Needs-C. Perkins Fy20,"$4,154",,
582,19-0925-EX1,Transfer from Early College and Career - City Wide to Hyde Park Academy High School,Supplies for CTE Broadcast program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,46171 Hyde Park Academy High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140205 Broadcast Technology,474567 Special Student Needs-C. Perkins Fy20,"$4,154",,
583,19-0925-EX1,Transfer from Early College and Career - City Wide to George Westinghouse College Prep,Supplies for CTE Broadcast program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,53071 George Westinghouse College Prep,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140205 Broadcast Technology,474567 Special Student Needs-C. Perkins Fy20,"$4,154",,
584,19-0925-EX1,Transfer from Capital/Operations - City Wide to Carl von Linne Elementary School,Funds Transfer From Award# 2020-488-00-06 To Project# 2019-24201-PKC ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,24201 Carl von Linne Elementary School,488 Series 2017H,54125 Services - Professional/Administrative,253508 Renovations,000000 Default Value,"$4,168",,
585,19-0925-EX1,Transfer from Capital/Operations - City Wide to John M Harlan Community Academy High School,Funds Transfer From Award# 2020-488-00-02 To Project# 2020-51021-OBI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,51021 John M Harlan Community Academy High School,488 Series 2017H,56310 Capitalized Construction,251392 Repairs & Improvements,000000 Default Value,"$4,170",,
586,19-0925-EX1,Transfer from Capital/Operations - City Wide to Robert Lindblom Math & Science Academy HS,Funds Transfer From Award# 2020-488-00-02 To Project# 2020-46511-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,46511 Robert Lindblom Math & Science Academy HS,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$4,189",,
587,19-0925-EX1,Transfer from Capital/Operations - City Wide to Nicholas Senn High School,Funds Transfer From Award# 2020-488-00-04 To Project# 2018-47061-OHI-1 ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009508 Ws O&M Cip,000000 Default Value,47061 Nicholas Senn High School,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$4,196",,
588,19-0925-EX1,Transfer from Capital/Operations - City Wide to Charles Kozminski Elementary Community Academy,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-31151-ODR ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,31151 Charles Kozminski Elementary Community Academy,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$4,199",,
589,19-0925-EX1,Transfer from Early College and Career - City Wide to Uplift Community High School,Supplies for CTE Teaching program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,26861 Uplift Community High School,369 Title I - School Improvement Carl Perkins,53405 Commodities - Supplies,140005 Cte - Childcare Worker,474567 Special Student Needs-C. Perkins Fy20,"$4,214",,
590,19-0925-EX1,Transfer from Capital/Operations - City Wide to Laughlin Falconer Elementary School,Funds Transfer From Award# 2020-488-00-06 To Project# 2019-23151-PKC ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,23151 Laughlin Falconer Elementary School,488 Series 2017H,54125 Services - Professional/Administrative,253508 Renovations,000000 Default Value,"$4,218",,
591,19-0925-EX1,Transfer from Capital/Operations - City Wide to North-Grand High School,Funds Transfer From Award# 2020-488-00-04 To Project# 2020-46431-OGC ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009508 Ws O&M Cip,000000 Default Value,46431 North-Grand High School,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$4,220",,
592,19-0925-EX1,Transfer from Early College and Career - City Wide to Paul Laurence Dunbar Career Academy High School,Certifications for CTE Cosmetology program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,53021 Paul Laurence Dunbar Career Academy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",140225 Cosmetology,474567 Special Student Needs-C. Perkins Fy20,"$4,240","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
593,19-0925-EX1,Transfer from Early College and Career - City Wide to Neal F Simeon Career Academy High School,Certifications for CTE Cosmetology program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 474567,,53061 Neal F Simeon Career Academy High School,369 Title I - School Improvement Carl Perkins,"54505 Seminar, Fees, Subscriptions, Professional
Memberships",140225 Cosmetology,474567 Special Student Needs-C. Perkins Fy20,"$4,240","Other Instruction Purposes - Miscellaneous
Special Student Needs-C. Perkins Fy20",
594,19-0925-EX1,Transfer from Capital/Operations - City Wide to Parkside Elementary Community Academy,Funds Transfer From Award# 2020-488-00-02 To Project# 2020-31201-OEI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,31201 Parkside Elementary Community Academy,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$4,249",,
595,19-0925-EX1,Transfer from Capital/Operations - City Wide to John Hancock College Preparatory High School,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-46021-OFR ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,46021 John Hancock College Preparatory High School,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,"$4,250",,
596,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Ombudsman Chicago- Northwest,Adjusting State bilingual charter allocation for Charter schools.,11540 Language & Cultural Education - City Wide,115 General Education Fund,54320 Student Tuition - Charter Schools,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,65013 Ombudsman Chicago- Northwest,115 General Education Fund,54320 Student Tuition - Charter Schools,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,"$4,268",,
597,19-0925-EX1,Transfer from Capital/Operations - City Wide to Ashburn Community Elementary School,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-32081-OGC ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,32081 Ashburn Community Elementary School,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,"$4,300",,
598,19-0925-EX1,Transfer from Capital/Operations - City Wide to A.N. Pritzker School,Funds Transfer From Award# 2020-488-00-06 To Project# 2019-25871-SIT ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,253536 Emergency Capital Repairs,000000 Default Value,25871 A.N. Pritzker School,488 Series 2017H,54125 Services - Professional/Administrative,253508 Renovations,000000 Default Value,"$4,307",,
599,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Chicago Virtual Charter School,Adjusting State bilingual charter allocation for Charter schools.,11540 Language & Cultural Education - City Wide,115 General Education Fund,54320 Student Tuition - Charter Schools,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,66481 Chicago Virtual Charter School,115 General Education Fund,54320 Student Tuition - Charter Schools,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,"$4,365",,
600,19-0925-EX1,Transfer from Counseling and Postsecondary Advising - City Wide to Englewood STEM HS,"Second installment of Enrichment funds for Summer 2019 Freshman Connections funds can be transferred to other approved lines
please see Freshman Connection Budget Guidance",10855 Counseling and Postsecondary Advising - City Wide,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,46691 Englewood STEM HS,"324 Miscellaneous Federal, State & Local Grants",54125 Services - Professional/Administrative,212028 Student Development,399929 Healthy Communities Investments 19-3999,"$4,375",,
601,19-0925-EX1,Transfer from Early College and Career - City Wide to Ellen H Richards Career Academy High School,Software for CTE Accounting program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",53051 Ellen H Richards Career Academy High School,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),149005 Accounting,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$4,418",,
602,19-0925-EX1,Transfer from Early College and Career - City Wide to Carl Schurz High School,Software for CTE Accounting program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",46281 Carl Schurz High School,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),149005 Accounting,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$4,418",,
603,19-0925-EX1,Transfer from Early College and Career - City Wide to Neal F Simeon Career Academy High School,Software for CTE Accounting program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20",53061 Neal F Simeon Career Academy High School,369 Title I - School Improvement Carl Perkins,53307 Commodities: Software Licenses (Instructional),149005 Accounting,"322024 Career & Technical Educ. Improvement Grant (Ctei)
Fy20","$4,418",,
604,19-0925-EX1,Transfer from Grant Funded Programs Office - City Wide to Lawrence Hall Youth Services,Transfer funds to process purchase order requests for Neglected Sites,12625 Grant Funded Programs Office - City Wide,334 NCLB Title 1 - Neglected & Delinquent,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,430525 Neglected Programs Fy19,69048 Lawrence Hall Youth Services,334 NCLB Title 1 - Neglected & Delinquent,55005 Property - Equipment,125008 Title I - Neglected & Delinquent Programs,430525 Neglected Programs Fy19,"$4,444",,
605,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Ombudsman Chicago- South,Adjusting State bilingual charter allocation for Charter schools.,11540 Language & Cultural Education - City Wide,115 General Education Fund,54320 Student Tuition - Charter Schools,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,65014 Ombudsman Chicago- South,115 General Education Fund,54320 Student Tuition - Charter Schools,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,"$4,462",,
606,19-0925-EX1,Transfer from Early College and Career - City Wide to Bowen High School,Workbooks for CTE Machine Tech program,13727 Early College and Career - City Wide,369 Title I - School Improvement Carl Perkins,57915 Miscellaneous - Contingent Projects,119035 Other Instruction Purposes - Miscellaneous,474567 Special Student Needs-C. Perkins Fy20,46491 Bowen High School,369 Title I - School Improvement Carl Perkins,53305 Instructional Materials (Non-Digital),144805 Machine Operator,474567 Special Student Needs-C. Perkins Fy20,"$4,480",,
607,19-0925-EX1,Transfer from Capital/Operations - City Wide to Nathanael Greene Elementary School,Funds Transfer From Award# 2020-488-00-02 To Project# 2020-23431-OHI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009509 Ss O&M Cip,000000 Default Value,23431 Nathanael Greene Elementary School,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$4,489",,
608,19-0925-EX1,Transfer from Capital/Operations - City Wide to Roswell B Mason Elementary School,Funds Transfer From Award# 2020-488-00-04 To Project# 2020-24381-OBI ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009508 Ws O&M Cip,000000 Default Value,24381 Roswell B Mason Elementary School,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$4,493",,
609,19-0925-EX1,Transfer from Capital/Operations - City Wide to Genevieve Melody Elementary School,Funds Transfer From Award# 2020-488-00-04 To Project# 2020-26351-OLT ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009508 Ws O&M Cip,000000 Default Value,26351 Genevieve Melody Elementary School,488 Series 2017H,56310 Capitalized Construction,009518 Aramark Ifm - Cip,000000 Default Value,"$4,495",,
610,19-0925-EX1,Transfer from Language and Cultural Education to Little Village Multiplex,Payment for rental space of LVLHS for OLCE's Aug Summer Institute 8/20-22/2019.,11510 Language and Cultural Education,115 General Education Fund,57705 Services - Space Rental,221011 Improvement Of Instruction,000000 Default Value,49121 Little Village Multiplex,115 General Education Fund,57705 Services - Space Rental,221011 Improvement Of Instruction,000901 Other Gen Ed Funded Programs,"$4,500",,
611,19-0925-EX1,Transfer from Capital/Operations - City Wide to Charles Kozminski Elementary Community Academy,Funds Transfer From Award# 2020-488-00-03 To Project# 2020-31151-OFR ; Change Reason : NA,12150 Capital/Operations - City Wide,488 Series 2017H,56310 Capitalized Construction,009511 Sw O&M Cip,000000 Default Value,31151 Charles Kozminski Elementary Community Academy,488 Series 2017H,56310 Capitalized Construction,009517 Sodexo Ifm - Cip,000000 Default Value,"$4,500",,
612,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Walter Payton College Preparatory High School,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,70020 Walter Payton College Preparatory High School,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$4,500",,
613,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to Chicago High School for Agricultural Sciences,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,47091 Chicago High School for Agricultural Sciences,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$4,500",,
614,19-0925-EX1,Transfer from Language & Cultural Education - City Wide to William H Brown Elementary School,Pushing out per pupil allocation to school units with fewer than 20 EL students.,11540 Language & Cultural Education - City Wide,115 General Education Fund,57940 Miscellaneous Charges,180007 State Bilingual Instruction,300110 Ebf - Bilingual Programs,22351 William H Brown Elementary School,115 General Education Fund,57940 Miscellaneous Charges,180006 Bilinugal Education - Elementary,300110 Ebf - Bilingual Programs,"$4,500",,
